,exercise
1074,triceps pressdown
1075,dumbbell floor press
1076,incline barbell bench press  warmup 85
1077,weighted suspension supine row
1078,cable lateral raise
1079,dumbbell reverse lunge 
1080,smith stiff leg deadlift
1081,barbell static hold
1082,seated hammer curl
1083,barbell conventional deadlift use 20 less weight than your previous working sets
1084,db side lateral raises
1085,supermans w5lb plates
1086,incline dumbbell chest press 
1087,1
1088,glute hyperextensions
1089,biceps  2 exercises
1090,machine preacher curls
1091,cable wood choppers
1092,seated rear dumbbell lateral raise
1093,elevated push up
1094,seated dumbbell side lateral
1095,weighted pushup
1096,smith military press
1097,dumbbell high pull standing
1098,barbell calf raise
1099,machine ab crunch
1100,timed shuttle run at least 10 yards
1101,one arm cable lateral raise
1102,partner hamstring curls
1103,95 of 1rm
1104,slide plank w
1105,machine chest press  superset 2
1106,one arm row
1107,overhead plate extensions 
1108,decline sit ups weighted
1109,bicep curl 1 sec hold
1110,superset  smith machine overhead press
1111,reverse grip dumbbell press
1112,wide grip cable row overhand grip
1113,plank left arm raised
1114,kettlebell high pull
1115,squats add 5lbs and perform 5x3 reps with 60 seconds rest between sets
1116,sandbag zercher squat about 56 rep sets
1117,twisting rope crunch
1118,extended plank opposite raise
1119,butt kicks
1120,superset dumbbell walking lunge  10 steps each leg and leg press rest 7590 seconds between moves and 90120 seconds between rounds
1121,smith machine upright row
1122,shoulder tap push ups
1123,alternating lunge pulses
1124,unique exercise finishers
1125,2 board bench press
1126,seated dumbbell extension
1127,scissor kicks
1128,straight leg sit up
1129,dumbbell shrugs
1130,squats  90
1131,two arm overhead extension
1132,incline dumbbell bench press 
1133,kettlebell snatch
1134,dumbbell pec fly
1135,it band foam roller
1136,crossbody hammer curl
1137,frog crunches
1138,shoulder press and pulldown
1139,weighted dips
1140,band or cable curls
1141,narrowgrip lat pulldown
1142,step ups
1143,seated low pulley overhead tricep extension
1144,dumbbell bench press  muscle
1145,bench squat 4 second pause while sitting 
1146,meadows row
1147,seated military press
1148,incline dumbbell flye  warmup 80
1149,dumbbell rdl
1150,incline curldumbbell kickback
1151,narrow grip pull up
1152,cable pull through
1153,seated dumbbell side lateral raise
1154,weighted hyperextension
1155,elevated stiff legged deadlift
1156,upright barbell row
1157,deadlifts ramped
1158,low cable crossover
1159,kettlebell shoulder press
1160,kneeling dumbbell military press
1161,full situp
1162,goodmorning
1163,dumbbell reverse fly drop set
1164,frog pump
1165,barbell hack squat 90 secs rest between sets
1166,feet elevated push ups
1167,cable rows
1168,reverse barbell curl
1169,standing barbell press
1170,toe raise on leg press
1171,standing band shoulder press
1172,db reverse lunge
1173,shoulder
1174,wide grip weighted pull ups
1175,side to side pull up
1176,bosu power push up
1177,tbar rows
1178,nonstop abs training
1179,dumbbell rear lateral raise
